transit_timestamp,station_complex,ridership,latitude,longitude,date,tip_ET,opponent,day_type
2026-04-10 20:00:00,"34 St-Penn Station (A,C,E)",2957.0,40.75229,-73.99339,2026-04-10,,,No game
2026-04-10 20:00:00,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",4650.0,40.74964,-73.987885,2026-04-10,,,No game
2026-04-10 21:00:00,"34 St-Penn Station (1,2,3)",2602.0,40.750374,-73.99106,2026-04-10,,,No game
2026-04-10 21:00:00,"34 St-Penn Station (A,C,E)",3551.0,40.75229,-73.99339,2026-04-10,,,No game
2026-04-10 21:00:00,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",4149.0,40.74964,-73.987885,2026-04-10,,,No game
2026-04-10 22:00:00,"34 St-Penn Station (1,2,3)",3186.0,40.750374,-73.99106,2026-04-10,,,No game
2026-04-10 22:00:00,"34 St-Penn Station (A,C,E)",3790.0,40.75229,-73.99339,2026-04-10,,,No game
2026-04-10 22:00:00,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",4742.0,40.74964,-73.987885,2026-04-10,,,No game
2026-04-10 23:00:00,"34 St-Penn Station (1,2,3)",1397.0,40.750374,-73.99106,2026-04-10,,,No game
2026-04-10 23:00:00,"34 St-Penn Station (A,C,E)",1736.0,40.75229,-73.99339,2026-04-10,,,No game
2026-04-10 23:00:00,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2700.0,40.74964,-73.987885,2026-04-10,,,No game
2026-04-11 06:00:00,"34 St-Penn Station (1,2,3)",712.0,40.750374,-73.99106,2026-04-11,,,No game
2026-04-11 06:00:00,"34 St-Penn Station (A,C,E)",611.0,40.75229,-73.99339,2026-04-11,,,No game
2026-04-11 06:00:00,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",464.0,40.74964,-73.987885,2026-04-11,,,No game
2026-04-11 07:00:00,"34 St-Penn Station (1,2,3)",761.0,40.750374,-73.99106,2026-04-11,,,No game
2026-04-11 07:00:00,"34 St-Penn Station (A,C,E)",763.0,40.75229,-73.99339,2026-04-11,,,No game
2026-04-11 07:00:00,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",642.0,40.74964,-73.987885,2026-04-11,,,No game
2026-04-11 08:00:00,"34 St-Penn Station (1,2,3)",1396.0,40.750374,-73.99106,2026-04-11,,,No game
2026-04-11 08:00:00,"34 St-Penn Station (A,C,E)",1119.0,40.75229,-73.99339,2026-04-11,,,No game
2026-04-11 08:00:00,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",973.0,40.74964,-73.987885,2026-04-11,,,No game
2026-04-11 09:00:00,"34 St-Penn Station (1,2,3)",1637.0,40.750374,-73.99106,2026-04-11,,,No game
